date,total_cross,os_cross,sqz_cross
2024-07-29,1,0,0
2024-08-02,1,0,0
2024-08-19,2,1,1
2024-08-21,1,0,0
2024-09-02,1,0,1
2024-09-09,1,1,0
2024-09-12,1,0,1
2024-09-13,1,0,0
2024-09-20,1,0,0
2024-09-25,1,0,1
2024-10-01,1,0,0
2024-10-07,2,0,0
2024-10-09,1,0,0
2024-10-14,2,0,2
2024-10-15,3,0,2
2024-10-18,1,0,1
2024-10-25,1,0,1
2024-10-29,3,0,1
2024-10-30,3,1,1
2024-11-01,1,0,0
2024-11-04,2,0,1
2024-11-05,1,0,1
2024-11-06,4,0,1
2024-11-07,1,0,1
2024-11-08,2,0,1
2024-11-11,2,0,1
2024-11-12,7,1,4
2024-11-13,4,0,4
2024-11-14,14,2,8
2024-11-18,38,8,25
2024-11-19,83,29,49
2024-11-21,83,24,33
2024-11-22,327,162,132
2024-11-25,504,173,122
2024-11-26,265,69,66
2024-11-27,162,36,37
2024-11-28,105,13,36
2024-11-29,92,7,34
2024-12-02,88,6,40
2024-12-03,116,7,33
2024-12-04,65,3,26
2024-12-05,43,1,18
2024-12-06,39,1,19
2024-12-09,71,3,28
2024-12-10,71,2,32
2024-12-11,70,2,26
2024-12-12,48,0,19
2024-12-13,40,2,16
2024-12-16,159,0,36
2024-12-17,138,2,36
2024-12-18,72,2,28
2024-12-19,34,1,12
2024-12-20,51,3,22
2024-12-23,49,8,19
2024-12-24,67,8,28
2024-12-26,96,13,38
2024-12-27,189,31,77
2024-12-30,138,18,43
2024-12-31,147,26,36
2025-01-01,349,37,85
2025-01-02,445,27,98
2025-01-03,288,19,70
2025-01-06,23,2,8
2025-01-07,46,5,19
2025-01-08,91,14,29
2025-01-09,88,12,30
2025-01-10,50,6,21
2025-01-13,16,3,8
2025-01-14,36,7,18
2025-01-15,173,77,43
2025-01-16,639,350,124
2025-01-17,357,127,87
2025-01-20,235,59,61
2025-01-21,91,18,27
2025-01-22,33,4,12
2025-01-23,128,34,41
2025-01-24,102,33,24
2025-01-27,26,10,3
2025-01-28,50,16,13
2025-01-29,225,109,43
2025-01-30,624,333,134
2025-01-31,501,252,96
2025-02-01,224,85,63
2025-02-03,46,16,11
2025-02-04,127,32,51
2025-02-05,239,54,95
2025-02-06,131,38,49
2025-02-07,56,11,20
2025-02-10,21,3,14
2025-02-11,5,0,1
2025-02-12,20,4,9
2025-02-13,103,28,45
2025-02-14,72,29,23
2025-02-17,54,27,20
2025-02-18,77,41,21
2025-02-19,280,178,65
2025-02-20,669,447,108
2025-02-21,365,197,58
2025-02-24,55,20,13
2025-02-25,62,34,13
2025-02-27,53,10,21
2025-02-28,29,13,8
2025-03-03,37,20,8
2025-03-04,190,117,27
2025-03-05,743,522,67
2025-03-06,628,354,115
2025-03-07,121,51,34
2025-03-10,27,5,12
2025-03-11,15,6,10
2025-03-12,33,9,18
2025-03-13,96,27,41
2025-03-17,127,29,69
2025-03-18,402,140,151
2025-03-19,530,175,212
2025-03-20,173,49,74
2025-03-21,64,16,30
2025-03-24,41,6,16
2025-03-25,23,7,11
2025-03-26,7,2,1
2025-03-27,46,2,21
2025-03-28,115,9,39
2025-04-01,194,29,99
2025-04-02,357,56,185
2025-04-03,338,22,171
2025-04-04,47,4,10
2025-04-07,4,0,3
2025-04-08,69,8,42
2025-04-09,120,8,73
2025-04-11,532,46,270
2025-04-15,750,54,239
2025-04-16,223,6,49
2025-04-17,48,0,21
2025-04-21,53,0,21
2025-04-22,41,0,22
2025-04-23,26,1,11
2025-04-24,31,1,16
2025-04-25,12,1,6
2025-04-28,24,1,10
2025-04-29,82,4,35
2025-04-30,47,0,14
2025-05-02,55,2,17
2025-05-05,124,2,39
2025-05-06,84,4,26
2025-05-07,83,2,23
2025-05-08,108,10,43
2025-05-09,54,1,16
2025-05-12,706,25,193
2025-05-13,724,16,242
2025-05-14,165,1,52
2025-05-15,74,1,34
2025-05-16,47,2,18
2025-05-19,48,2,19
2025-05-20,32,1,21
2025-05-21,53,0,36
2025-05-22,32,1,11
2025-05-23,101,2,41
2025-05-26,219,1,88
2025-05-27,151,0,63
2025-05-28,124,0,35
2025-05-29,134,0,36
2025-05-30,124,0,44
2025-06-02,147,1,46
2025-06-03,150,1,48
2025-06-04,127,2,35
2025-06-05,197,2,66
2025-06-06,277,2,161
2025-06-09,313,4,171
2025-06-10,205,4,107
2025-06-11,175,3,72
2025-06-12,58,1,25
2025-06-13,39,0,21
2025-06-16,66,3,32
2025-06-17,121,4,59
2025-06-18,88,0,43
2025-06-19,54,0,23
2025-06-20,90,1,56
2025-06-23,123,3,73
2025-06-24,394,23,191
2025-06-25,603,23,266
2025-06-26,258,5,120
2025-06-27,142,3,61
2025-06-30,117,7,49
2025-07-01,88,4,47
2025-07-02,78,1,42
2025-07-03,110,3,62
2025-07-04,167,4,100
2025-07-07,132,3,76
2025-07-08,106,4,60
2025-07-09,146,4,93
2025-07-10,163,5,88
2025-07-11,117,4,75
2025-07-14,122,4,73
2025-07-15,231,10,113
2025-07-16,333,17,162
2025-07-17,205,9,118
2025-07-18,114,5,56
2025-07-21,101,2,59
2025-07-22,97,6,51
2025-07-23,138,10,85
2025-07-24,156,6,93
2025-07-25,48,4,24
2025-07-28,41,4,26
2025-07-29,66,5,32
2025-07-30,212,44,90
2025-07-31,163,39,63
2025-08-01,133,32,58
2025-08-04,158,55,51
2025-08-05,229,87,86
2025-08-06,127,40,42
2025-08-07,96,33,40
2025-08-08,158,63,42
2025-08-11,217,97,63
2025-08-12,336,135,101
2025-08-13,332,114,100
2025-08-14,194,63,61
2025-08-18,271,74,89
2025-08-19,230,72,53
2025-08-20,177,47,66
2025-08-21,113,31,40
2025-08-22,69,12,31
2025-08-25,121,4,75
2025-08-26,40,4,21
2025-08-28,28,3,16
2025-08-29,80,12,36
2025-09-01,268,49,120
2025-09-02,509,109,236
2025-09-03,347,49,172
2025-09-04,228,27,118
2025-09-05,89,12,41
2025-09-08,133,17,58
2025-09-09,111,9,66
2025-09-10,219,22,132
2025-09-11,156,15,85
2025-09-12,116,11,64
2025-09-15,126,10,68
2025-09-16,195,14,111
2025-09-17,171,6,100
2025-09-18,131,6,78
2025-09-19,108,2,56
2025-09-22,90,3,45
2025-09-23,104,3,48
2025-09-24,64,6,33
2025-09-25,49,1,36
2025-09-26,20,5,13
2025-09-29,67,13,27
2025-09-30,96,12,48
2025-10-01,217,65,81
2025-10-03,461,107,145
2025-10-06,369,50,128
2025-10-07,200,22,69
2025-10-08,105,9,37
2025-10-09,119,15,43
2025-10-10,227,48,67
2025-10-13,119,31,46
2025-10-14,98,15,34
2025-10-15,125,16,46
2025-10-16,298,57,105
2025-10-17,188,41,58
2025-10-20,183,32,80
2025-10-21,301,66,134
2025-10-23,246,39,142
2025-10-24,92,13,50
2025-10-27,96,12,49
2025-10-28,118,8,65
2025-10-29,245,17,132
2025-10-30,171,26,96
2025-10-31,113,17,67
2025-11-03,141,17,80
2025-11-04,102,9,61
2025-11-06,61,7,33
2025-11-07,57,9,29
2025-11-10,166,23,71
2025-11-11,203,29,120
2025-11-12,350,81,188
2025-11-13,296,91,149
2025-11-14,174,55,72
2025-11-17,202,60,78
2025-11-18,122,38,41
2025-11-19,105,29,38
2025-11-20,122,41,46
2025-11-21,95,32,34
2025-11-24,73,25,24
2025-11-25,119,39,40
2025-11-26,367,153,92
2025-11-27,469,168,154
2025-11-28,245,69,94
2025-12-01,160,39,59
2025-12-02,81,21,43
2025-12-03,76,12,32
2025-12-04,92,31,43
2025-12-05,152,55,62
2025-12-08,77,23,39
2025-12-09,99,51,35
2025-12-10,343,193,108
2025-12-11,328,175,96
2025-12-12,474,206,168
2025-12-15,269,67,134
2025-12-16,113,33,57
2025-12-17,69,15,39
2025-12-18,73,19,35
2025-12-19,356,121,150
2025-12-22,567,147,285
2025-12-23,255,61,135
2025-12-24,99,19,59
2025-12-26,56,6,31
2025-12-29,52,13,32
2025-12-30,87,16,52
2025-12-31,295,38,203
2026-01-01,348,72,242
2026-01-02,320,43,231
2026-01-05,124,21,71
2026-01-06,86,9,37
2026-01-07,93,9,49
2026-01-08,57,10,37
2026-01-09,30,5,22
2026-01-12,60,12,32
2026-01-13,133,34,56
2026-01-14,197,59,90
2026-01-16,262,95,101
2026-01-19,117,52,32
2026-01-20,34,10,6
2026-01-21,38,17,10
2026-01-22,219,134,49
2026-01-23,235,131,62
2026-01-27,181,107,33
2026-01-28,490,239,72
2026-01-29,412,163,74
2026-01-30,226,105,45
2026-02-01,162,68,33
2026-02-02,78,34,31
2026-02-03,562,118,218
2026-02-04,159,27,75
2026-02-05,52,9,32
2026-02-06,29,8,15
2026-02-09,160,17,80
2026-02-10,168,21,93
2026-02-11,44,4,31
2026-02-12,38,4,26
2026-02-13,30,0,17
2026-02-16,51,6,29
2026-02-17,173,18,90
2026-02-18,308,33,159
2026-02-19,121,23,53
2026-02-20,90,3,41
2026-02-23,177,14,84
2026-02-24,87,6,51
2026-02-25,158,19,75
2026-02-26,227,40,108
2026-02-27,189,54,76
2026-03-02,24,8,8
2026-03-04,33,13,15
2026-03-05,117,36,49
2026-03-06,241,100,79
2026-03-09,64,24,22
2026-03-10,305,149,52
2026-03-11,437,209,88
2026-03-12,191,83,52
2026-03-13,46,15,19
2026-03-16,33,14,8
2026-03-17,202,123,35
2026-03-18,714,396,113
2026-03-19,166,79,41
2026-03-20,199,81,54
2026-03-23,19,9,8
2026-03-24,146,71,39
2026-03-25,751,391,152
2026-03-27,148,69,47
2026-03-30,71,8,23
2026-04-01,418,245,133
2026-04-02,614,387,208
2026-04-06,452,199,157
2026-04-07,101,26,49
2026-04-08,136,22,77
2026-04-09,37,1,18
2026-04-10,32,2,12
2026-04-13,16,1,8
2026-04-15,62,3,36
2026-04-16,23,1,10
2026-04-17,25,0,13
2026-04-20,19,1,5
2026-04-21,27,0,10
2026-04-22,46,1,15
2026-04-23,54,0,14
2026-04-24,23,0,5
2026-04-27,147,0,18
2026-04-28,234,2,28
2026-04-29,212,2,21
2026-04-30,91,0,20
2026-05-04,222,0,43
2026-05-05,205,0,60
2026-05-06,437,2,133
2026-05-07,377,1,188
2026-05-08,146,1,63
2026-05-11,60,1,27
2026-05-12,24,1,13
2026-05-13,41,0,22
2026-05-14,92,0,49
2026-05-15,128,2,57
2026-05-18,61,2,32
2026-05-19,154,7,65
2026-05-20,176,5,90
2026-05-21,397,16,171
2026-05-22,322,14,129
2026-05-25,388,8,143
2026-05-26,204,6,67
2026-05-27,117,2,45
2026-05-28,28,0,7
2026-05-29,125,2,62
2026-06-01,66,1,35
2026-06-02,73,4,39
2026-06-03,133,10,58
2026-06-04,217,12,104
2026-06-05,279,20,151
2026-06-08,65,6,32
2026-06-09,182,17,117
2026-06-10,156,20,80
2026-06-11,75,10,39
2026-06-12,372,52,207
2026-06-15,757,49,423
2026-06-16,264,9,128
2026-06-17,104,8,47
2026-06-18,96,7,51
2026-06-19,102,3,52
2026-06-22,135,5,85
2026-06-23,68,4,42
2026-06-24,69,2,40
2026-06-25,109,4,58
2026-06-26,26,4,17
2026-06-29,81,4,42
2026-06-30,100,5,33
2026-07-01,163,8,77
2026-07-02,229,11,100
